# pyDL periodicity scores computed on 2022-03-08 09:17:54
# Calculation time:  837.654523 seconds
# Input files:  /mnt/c/users/sophi/OneDrive/WIP/crypto/data/crypto_rnaseq_norm_trim.tsv
# Period(s) of oscillation tested:  60.0000, 70.0000, 80.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  1
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
CNAG_00084	80.0	0.13716442272822404	1.5514645493735741	0.983015	1.3077242353654854	1.0	1000000.0	1307724.2353654855	2.2363963307513003e+30
CNAG_00085	80.0	0.254478122627284	1.8142484052046093	0.366333	0.48734001242518615	1e-06	1.0	0.48734001242518615	115743996247.75256
CNAG_00086	70.0	0.19500575411914703	1.7585185463108952	0.774138	1.0298510441014288	1e-06	1.0	1.0298510441014288	1092255108723.8593
CNAG_00087	80.0	0.2871720372832883	1.833256581120991	0.197158	0.2622831745153313	1e-06	1.0	0.2622831745153313	18043386071.156506
CNAG_00088	80.0	0.17407763229832268	1.1705284808856065	0.884394	1.1765267746797587	1e-06	1.0	1.1765267746797587	1628569110449.2092
CNAG_00089	80.0	0.18423024991245066	1.2980517932878741	0.835331	1.1112572984665405	1e-06	1.0	1.1112572984665405	1372286101913.5535
CNAG_00090	80.0	0.246198552139497	2.9529812235478756	0.420106	0.558875294499527	1e-06	1.0	0.558875294499527	174560734215.2364
CNAG_00091	80.0	0.6125485403668933	4.724634468834569	0.001799	0.0023932451686113723	1e-06	1.0	0.0023932451686113723	16100.86599463708
CNAG_00092	80.0	0.10824168785346101	1.5029190241291435	0.998748	1.32865415545318	1e-06	1.0	1.32865415545318	2345505905540.5825
CNAG_00093	80.0	0.552070891783844	3.3261299751277424	0.003967	0.005277378312329802	1e-06	1.0	0.005277378312329802	152256.32605006997
CNAG_00094	70.0	0.35509304126286395	4.326715373272221	0.051314	0.06826402589334295	1e-06	1.0	0.06826402589334295	318177388.57373613
CNAG_00095	60.0	0.2645015155441145	0.8351081424229989	0.306155	0.40728403257154794	1e-06	1.0	0.40728403257154794	67560865505.6443
CNAG_00096	60.0	0.19676652635740183	1.9918746611748854	0.763447	1.0156285960204816	1e-06	1.0	1.0156285960204816	1047624427685.811
CNAG_00097	80.0	0.28134863380696223	3.0817740985353073	0.221514	0.29468444151182854	1e-06	1.0	0.29468444151182854	25590398936.879196
CNAG_00098	70.0	0.41059772423402546	2.4503137201455374	0.021964	0.029219142236453687	1e-06	1.0	0.029219142236453687	24975328.53287278
CNAG_00099	80.0	0.40169899115585356	0.8470823286768225	0.024726	0.032893485291320065	1e-06	1.0	0.032893485291320065	35623067.53954905
CNAG_00100	80.0	0.3682673939301272	2.9846019791360674	0.040686	0.054125387954487104	1e-06	1.0	0.054125387954487104	158617726.78928182
CNAG_00101	80.0	0.2271554951187159	2.83521400485284	0.553815	0.7367510133710434	1e-06	1.0	0.7367510133710434	399911101260.9767
CNAG_00104	70.0	0.3598949895858057	2.5323597996717613	0.047092	0.06264741605350015	1e-06	1.0	0.06264741605350015	245935128.08636695
CNAG_00105	80.0	0.14987319481075467	1.5278068599988528	0.962354	1.2802384997186373	1e-06	1.0	1.2802384997186373	2098327870822.2092
CNAG_00106	80.0	0.2681059311229255	0.8565088051913351	0.286434	0.381048797457493	1e-06	1.0	0.381048797457493	55328030561.7726
CNAG_00107	70.0	0.5471025625743846	3.9703422947111644	0.004295	0.005713723179091632	1e-06	1.0	0.005713723179091632	192247.73664564278
CNAG_00108	80.0	0.15530760838183166	1.912886196511253	0.949604	1.263276923342987	1e-06	1.0	1.263276923342987	2016027235484.9985
