time_points	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230
CNAG_00117	1316.86	1352.94	1491.3	2046.87	2390.29	2998.7	3583.33	3038.77	2068.47	2202.28	2017.6	2123.48	2255.23	2280.63	2133.11	1996.23	1971.96	2022.83	2081.07	2085.66	2034.7	1918.22	1986.24	1876.83
CNAG_00118	210.598	230.36	459.621	571.524	534.005	446.961	469.573	390.175	283.493	345.825	377.516	440.552	492.657	471.074	416	395.232	387.631	426.16	451.505	463.107	432.17	417.675	394.236	350.58
CNAG_00119	54.0305	48.7701	18.3501	29.3155	57.9286	57.0203	58.8078	34.4527	78.4502	55.9622	29.1469	54.466	82.1839	53.3331	71.1548	29.3447	62.9547	96.9753	79.4139	105.788	86.1038	89.434	72.3349	81.8277
CNAG_00120	67.8788	140.135	66.1171	103.549	305.302	407.827	508.342	444.747	433.717	377.076	219.542	232.57	288.59	282.953	288.048	196.928	271.375	289.767	260.835	284.448	242.321	284.956	261.693	246.789
CNAG_00121	28000.5	25100.1	15063.7	3902.9	924.69	372.46	499.905	494.516	657.24	1241.06	2370.5	3641.17	3939.65	4889.43	5282.9	6719.97	6115.67	6452.65	7319.1	7702.73	7611.13	7574.77	7683.78	7237.02
CNAG_00122	406.289	470.534	3493.19	6919.88	3147.46	1654.52	1606.23	997.504	844.876	1988.8	2607.64	2209.41	1747.92	1610	1490.78	1799.92	1990.77	2213.12	2145.88	1936.02	1689.35	1477.27	1687.23	1721.19
CNAG_00123	168.221	14.811	17.9067	52.4136	12.0803	6.63133	24.257	13.766	11.2787	17.3894	12.9687	16.1507	14.8195	16.034	22.2353	25.9945	32.7698	25.2816	17.574	34.4487	27.5953	30.9327	41.3199	31.6396
CNAG_00124	267.58	832.834	684.588	820.721	392.06	303.936	293.193	293.321	385.526	678.187	714.207	537.01	462.525	461.214	445.717	581.331	562.208	571.754	505.946	483.266	490.679	523.044	590.53	589.55
CNAG_00125	153.465	119.631	121.215	92.0435	62.5978	51.9454	53.7872	29.6498	59.4694	57.6597	51.875	45.2219	42.1186	56.5907	48.5134	58.2907	75.7803	50.5633	51.797	47.2439	51.7412	59.0534	44.7632	64.3338
CNAG_00126	385.63	536.61	662.549	709.502	1114.68	1209.11	1316.21	1040.92	941.257	1346.31	1487.7	1656.25	1397.71	1220.47	1103.68	812.131	1474.64	1610.25	1504.89	1388.77	1164.18	1106.08	1060.54	1260.31
